tanggal,bulan,imsak,subuh,terbit,duha,zuhur,asar,magrib,isya
1,1,03:52,04:02,05:22,05:51,11:44,15:10,18:00,19:15
2,1,03:53,04:03,05:23,05:52,11:45,15:11,18:00,19:16
3,1,03:54,04:04,05:23,05:52,11:45,15:11,18:00,19:16
4,1,03:54,04:04,05:24,05:53,11:46,15:11,18:01,19:16
5,1,03:55,04:05,05:24,05:53,11:46,15:12,18:01,19:17
6,1,03:55,04:05,05:25,05:54,11:47,15:12,18:02,19:17
7,1,03:56,04:06,05:25,05:54,11:47,15:12,18:02,19:17
8,1,03:57,04:07,05:26,05:55,11:48,15:13,18:02,19:17
9,1,03:57,04:07,05:26,05:55,11:48,15:13,18:03,19:18
10,1,03:58,04:08,05:27,05:56,11:48,15:13,18:03,19:18
11,1,03:58,04:08,05:27,05:56,11:49,15:13,18:03,19:18
12,1,03:59,04:09,05:28,05:57,11:49,15:14,18:04,19:18
13,1,04:00,04:10,05:28,05:57,11:50,15:14,18:04,19:18
14,1,04:00,04:10,05:29,05:57,11:50,15:14,18:04,19:19
15,1,04:01,04:11,05:29,05:58,11:50,15:14,18:04,19:19
16,1,04:01,04:11,05:30,05:58,11:51,15:14,18:05,19:19
17,1,04:02,04:12,05:30,05:59,11:51,15:14,18:05,19:19
18,1,04:02,04:12,05:30,05:59,11:51,15:14,18:05,19:19
19,1,04:03,04:13,05:31,06:00,11:52,15:15,18:05,19:19
20,1,04:04,04:14,05:31,06:00,11:52,15:15,18:05,19:19
21,1,04:04,04:14,05:32,06:00,11:52,15:15,18:06,19:19
22,1,04:05,04:15,05:32,06:01,11:52,15:15,18:06,19:19
23,1,04:05,04:15,05:33,06:01,11:53,15:15,18:06,19:19
24,1,04:06,04:16,05:33,06:01,11:53,15:15,18:06,19:19
25,1,04:06,04:16,05:33,06:02,11:53,15:14,18:06,19:19
26,1,04:07,04:17,05:34,06:02,11:53,15:14,18:06,19:19
27,1,04:07,04:17,05:34,06:02,11:54,15:14,18:06,19:19
28,1,04:08,04:18,05:34,06:03,11:54,15:14,18:06,19:19
29,1,04:08,04:18,05:35,06:03,11:54,15:14,18:06,19:19
30,1,04:09,04:19,05:35,06:03,11:54,15:14,18:06,19:19
31,1,04:09,04:19,05:35,06:04,11:54,15:13,18:06,19:19
1,2,04:10,04:20,05:36,06:04,11:54,15:13,18:06,19:19
2,2,04:10,04:20,05:36,06:04,11:55,15:13,18:06,19:18
3,2,04:10,04:20,05:36,06:04,11:55,15:13,18:06,19:18
4,2,04:11,04:21,05:36,06:05,11:55,15:12,18:06,19:18
5,2,04:11,04:21,05:37,06:05,11:55,15:12,18:06,19:18
6,2,04:12,04:22,05:37,06:05,11:55,15:12,18:06,19:18
7,2,04:12,04:22,05:37,06:05,11:55,15:11,18:06,19:17
8,2,04:12,04:22,05:37,06:05,11:55,15:11,18:06,19:17
9,2,04:13,04:23,05:38,06:06,11:55,15:10,18:05,19:17
10,2,04:13,04:23,05:38,06:06,11:55,15:10,18:05,19:17
11,2,04:13,04:23,05:38,06:06,11:55,15:09,18:05,19:16
12,2,04:14,04:24,05:38,06:06,11:55,15:09,18:05,19:16
13,2,04:14,04:24,05:38,06:06,11:55,15:08,18:05,19:16
14,2,04:14,04:24,05:38,06:06,11:55,15:07,18:05,19:15
15,2,04:15,04:25,05:39,06:06,11:55,15:07,18:04,19:15
16,2,04:15,04:25,05:39,06:06,11:55,15:06,18:04,19:15
17,2,04:15,04:25,05:39,06:07,11:55,15:06,18:04,19:14
18,2,04:15,04:25,05:39,06:07,11:55,15:05,18:04,19:14
19,2,04:15,04:25,05:39,06:07,11:55,15:04,18:03,19:14
20,2,04:16,04:26,05:39,06:07,11:55,15:03,18:03,19:13
21,2,04:16,04:26,05:39,06:07,11:55,15:03,18:03,19:13
22,2,04:16,04:26,05:39,06:07,11:54,15:02,18:02,19:12
23,2,04:16,04:26,05:39,06:07,11:54,15:01,18:02,19:12
24,2,04:16,04:26,05:39,06:07,11:54,15:00,18:02,19:11
25,2,04:17,04:27,05:39,06:07,11:54,14:59,18:01,19:11
26,2,04:17,04:27,05:40,06:07,11:54,14:58,18:01,19:11
27,2,04:17,04:27,05:40,06:07,11:54,14:57,18:01,19:10
28,2,04:17,04:27,05:40,06:07,11:53,14:56,18:00,19:10
29,2,04:17,04:27,05:40,06:07,11:52,14:55,18:01,19:10
1,3,04:17,04:27,05:40,06:07,11:53,14:55,18:00,19:09
2,3,04:17,04:27,05:40,06:07,11:53,14:54,18:00,19:09
3,3,04:17,04:27,05:40,06:07,11:53,14:53,17:59,19:08
4,3,04:17,04:27,05:40,06:07,11:53,14:54,17:59,19:08
5,3,04:17,04:27,05:39,06:07,11:52,14:54,17:58,19:07
6,3,04:17,04:27,05:39,06:07,11:52,14:55,17:58,19:07
7,3,04:17,04:27,05:39,06:07,11:52,14:55,17:57,19:06
8,3,04:17,04:27,05:39,06:07,11:52,14:55,17:57,19:06
9,3,04:17,04:27,05:39,06:07,11:52,14:56,17:57,19:05
10,3,04:17,04:27,05:39,06:06,11:51,14:56,17:56,19:05
11,3,04:17,04:27,05:39,06:06,11:51,14:56,17:56,19:04
12,3,04:17,04:27,05:39,06:06,11:51,14:57,17:55,19:04
13,3,04:17,04:27,05:39,06:06,11:50,14:57,17:55,19:03
14,3,04:17,04:27,05:39,06:06,11:50,14:57,17:54,19:03
15,3,04:17,04:27,05:39,06:06,11:50,14:58,17:54,19:02
16,3,04:17,04:27,05:39,06:06,11:50,14:58,17:53,19:02
17,3,04:17,04:27,05:39,06:06,11:49,14:58,17:53,19:01
18,3,04:17,04:27,05:39,06:06,11:49,14:58,17:52,19:01
19,3,04:17,04:27,05:38,06:06,11:49,14:58,17:52,19:00
20,3,04:17,04:27,05:38,06:06,11:48,14:59,17:51,19:00
21,3,04:17,04:27,05:38,06:05,11:48,14:59,17:51,19:00
22,3,04:17,04:27,05:38,06:05,11:48,15:00,17:51,18:59
23,3,04:17,04:27,05:38,06:05,11:48,14:59,17:50,18:58
24,3,04:16,04:26,05:38,06:05,11:47,14:59,17:50,18:58
25,3,04:16,04:26,05:38,06:05,11:47,14:59,17:49,18:57
26,3,04:16,04:26,05:38,06:05,11:47,14:59,17:49,18:57
27,3,04:16,04:26,05:38,06:05,11:46,14:59,17:48,18:57
28,3,04:16,04:26,05:38,06:05,11:46,15:00,17:48,18:56
29,3,04:16,04:26,05:37,06:05,11:46,15:00,17:47,18:56
30,3,04:16,04:26,05:37,06:04,11:45,15:00,17:47,18:55
31,3,04:16,04:26,05:37,06:04,11:45,15:00,17:46,18:55
1,4,04:15,04:25,05:37,06:04,11:45,15:00,17:46,18:54
2,4,04:15,04:25,05:37,06:04,11:45,15:00,17:45,18:54
3,4,04:15,04:25,05:37,06:04,11:44,15:00,17:45,18:53
4,4,04:15,04:25,05:37,06:04,11:44,15:00,17:44,18:53
5,4,04:15,04:25,05:37,06:04,11:44,15:00,17:44,18:52
6,4,04:15,04:25,05:37,06:04,11:43,15:00,17:43,18:52
7,4,04:14,04:24,05:36,06:04,11:43,15:00,17:43,18:52
8,4,04:14,04:24,05:36,06:04,11:43,15:00,17:42,18:51
9,4,04:14,04:24,05:36,06:04,11:43,15:00,17:42,18:51
10,4,04:14,04:24,05:36,06:04,11:42,15:00,17:41,18:50
11,4,04:14,04:24,05:36,06:03,11:42,15:00,17:41,18:50
12,4,04:14,04:24,05:36,06:03,11:42,15:00,17:41,18:50
13,4,04:14,04:24,05:36,06:03,11:42,14:59,17:40,18:49
14,4,04:13,04:23,05:36,06:03,11:41,14:59,17:40,18:49
15,4,04:13,04:23,05:36,06:03,11:41,14:59,17:39,18:49
16,4,04:13,04:23,05:36,06:03,11:41,14:59,17:39,18:48
17,4,04:13,04:23,05:36,06:03,11:41,14:59,17:38,18:48
18,4,04:13,04:23,05:36,06:03,11:40,14:59,17:38,18:48
19,4,04:13,04:23,05:35,06:03,11:40,14:59,17:38,18:47
20,4,04:13,04:23,05:35,06:03,11:40,14:59,17:37,18:47
21,4,04:12,04:22,05:35,06:03,11:40,14:59,17:37,18:47
22,4,04:12,04:22,05:35,06:03,11:39,14:59,17:37,18:46
23,4,04:12,04:22,05:35,06:03,11:39,14:59,17:36,18:46
24,4,04:12,04:22,05:35,06:03,11:39,14:59,17:36,18:46
25,4,04:12,04:22,05:35,06:03,11:39,14:59,17:36,18:46
26,4,04:12,04:22,05:35,06:03,11:39,14:59,17:35,18:45
27,4,04:12,04:22,05:35,06:03,11:39,14:59,17:35,18:45
28,4,04:12,04:22,05:35,06:03,11:38,14:59,17:35,18:45
29,4,04:12,04:22,05:35,06:03,11:38,14:58,17:34,18:45
30,4,04:11,04:21,05:35,06:03,11:38,14:58,17:34,18:45
1,5,04:11,04:21,05:35,06:03,11:38,14:58,17:34,18:44
2,5,04:11,04:21,05:35,06:03,11:38,14:58,17:33,18:44
3,5,04:11,04:21,05:35,06:03,11:38,14:58,17:33,18:44
4,5,04:11,04:21,05:35,06:04,11:38,14:58,17:33,18:44
5,5,04:11,04:21,05:36,06:04,11:38,14:58,17:33,18:44
6,5,04:11,04:21,05:36,06:04,11:38,14:58,17:32,18:44
7,5,04:11,04:21,05:36,06:04,11:37,14:58,17:32,18:44
8,5,04:11,04:21,05:36,06:04,11:37,14:58,17:32,18:43
9,5,04:11,04:21,05:36,06:04,11:37,14:58,17:32,18:43
10,5,04:11,04:21,05:36,06:04,11:37,14:58,17:32,18:43
11,5,04:11,04:21,05:36,06:04,11:37,14:58,17:32,18:43
12,5,04:11,04:21,05:36,06:04,11:37,14:58,17:31,18:43
13,5,04:11,04:21,05:36,06:05,11:37,14:58,17:31,18:43
14,5,04:11,04:21,05:36,06:05,11:37,14:58,17:31,18:43
15,5,04:11,04:21,05:36,06:05,11:37,14:58,17:31,18:43
16,5,04:11,04:21,05:37,06:05,11:37,14:58,17:31,18:43
17,5,04:11,04:21,05:37,06:05,11:37,14:58,17:31,18:43
18,5,04:11,04:21,05:37,06:05,11:37,14:58,17:31,18:43
19,5,04:11,04:21,05:37,06:06,11:37,14:58,17:31,18:43
20,5,04:11,04:21,05:37,06:06,11:37,14:58,17:31,18:43
21,5,04:11,04:21,05:37,06:06,11:38,14:58,17:31,18:43
22,5,04:11,04:21,05:38,06:06,11:38,14:58,17:31,18:43
23,5,04:11,04:21,05:38,06:06,11:38,14:58,17:31,18:43
24,5,04:11,04:21,05:38,06:07,11:38,14:58,17:31,18:44
25,5,04:12,04:22,05:38,06:07,11:38,14:59,17:31,18:44
